park1,park2,activity similariy,crowdedness similarity Jan,crowdedness similarity Feb,crowdedness similarity Mar,crowdedness similarity Apr,crowdedness similarity May,crowdedness similarity Jun,crowdedness similarity Jul,crowdedness similarity Aug,crowdedness similarity Sep,crowdedness similarity Oct,crowdedness similarity Nov,crowdedness similarity Dec
Arches NP,National Park of American Samoa,0.0000,0.7727,0.9906,0.8751,0.5931,0.9202,0.9281,0.4793,0.9911,0.9297,0.7889,0.7906,0.9772
Arches NP,North Cascades NP,0.5262,0.3988,0.9775,0.4849,0.2671,0.5475,0.7102,0.4744,0.9619,0.9071,0.3350,0.4250,0.9393
Arches NP,Olympic NP,0.4045,0.8579,0.8327,0.4751,0.6114,0.7159,0.7888,0.6993,0.7286,0.7912,0.5997,0.4915,0.7027
Arches NP,Petrified Forest NP,0.7906,0.8160,0.9937,0.7718,0.8048,0.9527,0.9370,0.8561,0.9953,0.9524,0.7453,0.8652,0.9808
Arches NP,Pinnacles NP,0.4216,0.7571,0.9941,0.7882,0.6699,0.8809,0.9216,0.6029,0.9938,0.9401,0.6213,0.7387,0.9861
Arches NP,Redwood NP,0.7303,0.5471,0.9832,0.5562,0.4547,0.6492,0.8008,0.5865,0.9849,0.9237,0.4383,0.4972,0.9571
Arches NP,Rocky Mountain NP,0.6708,0.9056,0.9105,0.5759,0.5630,0.6968,0.8915,0.8387,0.8655,0.8438,0.7609,0.5975,0.8413
Arches NP,Saguaro NP,0.8944,0.8300,0.9884,0.7415,0.7646,0.8521,0.9279,0.7757,0.9979,0.9563,0.6799,0.7671,0.9943
Arches NP,Sequoia NP,0.6364,0.6347,0.8280,0.3696,0.4935,0.5027,0.6263,0.4857,0.3244,0.4045,0.6584,0.4403,0.6885
Arches NP,Shenandoah NP,0.6532,0.7158,0.8811,0.3690,0.5577,0.7078,0.7440,0.6580,0.8694,0.8176,0.8751,0.6370,0.7949
Arches NP,Theodore Roosevelt NP,0.5369,0.7365,0.9957,0.7729,0.6480,0.9621,0.9836,0.9299,0.9935,0.9637,0.7864,0.7578,0.9906
Arches NP,Virgin Islands NP,0.4082,0.6637,0.6603,0.8049,0.8265,0.9521,0.9376,0.5430,0.9925,0.9370,0.8842,0.7408,0.9819
Arches NP,Voyageurs NP,0.4830,0.3864,0.9901,0.7260,0.3812,0.6745,0.5338,0.4553,0.9578,0.9320,0.4497,0.5878,0.9721
Arches NP,Wind Cave NP,0.7016,0.8171,0.9933,0.8396,0.8558,0.9621,0.9552,0.8610,0.9956,0.9567,0.7544,0.7828,0.9839
Arches NP,Wrangell-St. Elias NP & PRES,0.5394,0.0451,0.7446,0.1264,0.0523,0.1599,0.2467,0.1148,0.7798,0.5289,0.0610,0.0893,0.5332
Arches NP,Yellowstone NP,0.7255,0.5706,0.6268,0.2510,0.2608,0.5706,0.6155,0.7020,0.6542,0.6235,0.5251,0.2638,0.4774
Arches NP,Yosemite NP,0.6901,0.8981,0.7292,0.8182,0.8070,0.7797,0.7556,0.7521,0.6902,0.3084,0.8109,0.8140,0.4216
Arches NP,Zion NP,0.6325,0.9281,0.9751,0.9240,0.9706,0.8155,0.9517,0.8307,0.9347,0.8734,0.8733,0.9307,0.9412
Badlands NP,Acadia NP,0.5417,0.8643,0.9482,0.6636,0.6190,0.9525,0.8170,0.7728,0.8212,0.6867,0.9711,0.7322,0.8745
Badlands NP,Arches NP,0.7303,0.6856,0.9927,0.8183,0.7319,0.9063,0.9247,0.9291,0.9934,0.9679,0.7465,0.7748,0.9825
Badlands NP,Badlands NP,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Badlands NP,Big Bend NP,0.6963,0.3639,0.9153,0.6763,0.6455,0.7448,0.7327,0.4713,0.9741,0.9379,0.6986,0.7631,0.3538
Badlands NP,Biscayne NP,0.3273,0.7708,0.9982,0.9629,0.9033,0.9314,0.9777,0.8121,0.9940,0.9944,0.9673,0.9575,0.9973
Badlands NP,Black Canyon of the Gunnison NP,0.3333,0.9760,0.9998,0.9887,0.9102,0.9098,0.9170,0.6760,0.9897,0.9911,0.9775,0.9804,0.9995
Badlands NP,Bryce Canyon NP,0.6093,0.9376,0.9969,0.9779,0.8795,0.9461,0.9514,0.9462,0.9955,0.8745,0.8462,0.9735,0.9891
Badlands NP,Canyonlands NP,0.6667,0.3380,0.9459,0.6435,0.4879,0.5829,0.5911,0.4577,0.9432,0.9029,0.3968,0.4722,0.8516
Badlands NP,Capitol Reef NP,0.7485,0.6344,0.9934,0.8798,0.7774,0.9027,0.9309,0.7719,0.9910,0.9631,0.7592,0.8293,0.9803
Badlands NP,Carlsbad Caverns NP,0.6390,0.5912,0.9981,0.8952,0.7915,0.9446,0.9683,0.8285,0.9922,0.9888,0.8149,0.8327,0.9941
Badlands NP,Channel Islands NP,0.6495,0.8847,0.9996,0.9340,0.9282,0.9073,0.9117,0.7003,0.9895,0.9891,0.7641,0.8635,0.9969
Badlands NP,Congaree NP,0.6708,0.7327,0.9987,0.9517,0.8670,0.8914,0.9424,0.5623,0.9903,0.9867,0.8745,0.8910,0.9962
Badlands NP,Crater Lake NP,0.6019,0.9294,0.9957,0.8942,0.8265,0.8470,0.9488,0.8439,0.9952,0.9798,0.9174,0.8862,0.9863
Badlands NP,Cuyahoga Valley NP,0.4003,0.5615,0.9917,0.8811,0.6823,0.8248,0.9715,0.9355,0.9963,0.9800,0.7899,0.6634,0.9738
Badlands NP,Death Valley NP,0.9258,0.6165,0.6218,0.6834,0.8987,0.7858,0.5922,0.5057,0.9287,0.8152,0.8956,0.8593,0.5398
Badlands NP,Denali NP & PRES,0.5963,0.3847,0.8711,0.3601,0.3525,0.5435,0.5321,0.5028,0.8952,0.7475,0.3170,0.3573,0.7191
Badlands NP,Dry Tortugas NP,0.5000,0.5930,0.9983,0.9344,0.7799,0.8004,0.9403,0.5820,0.9895,0.9840,0.8556,0.8497,0.9943
Badlands NP,Everglades NP,0.7454,0.5474,0.7072,0.7367,0.9595,0.8161,0.8403,0.5608,0.9840,0.9490,0.8558,0.8230,0.9838
Badlands NP,Gates of the Arctic NP & PRES,0.2182,0.1541,0.6135,0.1514,0.1357,0.1365,0.1912,0.1078,0.6518,0.4244,0.1295,0.1503,0.4113
Badlands NP,Gateway Arch NP,0.4330,0.5846,0.9964,0.8403,0.7148,0.8552,0.9807,0.8939,0.9981,0.9940,0.7823,0.6924,0.9824
Badlands NP,Glacier Bay NP & PRES,0.6351,0.2224,0.9602,0.4247,0.2762,0.6247,0.7303,0.5562,0.9674,0.8888,0.2567,0.3445,0.8909
